KEV,INTENSITY
4.97711,1.4601
4.98452,1.43976
4.99193,1.48523
4.99933,1.5008
5.00674,1.42272
5.01414,1.46202
5.02155,1.39978
5.02896,1.44944
5.03636,1.41127
5.04377,1.42042
5.05118,1.44985
5.05858,1.4288
5.06599,1.43581
5.07340,1.43382
5.08080,1.40321
5.08821,1.42671
5.09561,1.41111
5.10302,1.47683
5.11043,1.39378
5.11783,1.42605
5.12524,1.42262
5.13265,1.46145
5.14005,1.38931
5.14746,1.5089
5.15487,1.45209
5.16227,1.47568
5.16968,1.47946
5.17709,1.46998
5.18449,1.48561
5.19190,1.53294
5.19930,1.5249
5.20671,1.53156
5.21412,1.56246
5.22152,1.57477
5.22893,1.58311
5.23634,1.60866
5.24374,1.61223
5.25115,1.66471
5.25856,1.70327
5.26596,1.67368
5.27337,1.66997
5.28078,1.72566
5.28818,1.72742
5.29559,1.76136
5.30299,1.76936
5.31040,1.81854
5.31781,1.77249
5.32521,1.8443
5.33262,1.86079
5.34003,1.84851
5.34743,1.8418
5.35484,1.86101
5.36225,1.86459
5.36965,1.83831
5.37706,1.89516
5.38447,1.90341
5.39187,1.88009
5.39928,1.87669
5.40668,1.90846
5.41409,1.8921
5.42150,1.88283
5.42890,1.86452
5.43631,1.89661
5.44372,1.91704
5.45112,1.89836
5.45853,1.88767
5.46594,1.90641
5.47334,1.84052
5.48075,1.87054
5.48816,1.87205
5.49556,1.8366
5.50297,1.83184
5.51037,1.83928
5.51778,1.81027
5.52519,1.81069
5.53259,1.78656
5.54000,1.79022
5.54741,1.76826
5.55481,1.79611
5.56222,1.75472
5.56963,1.7503
5.57703,1.7285
5.58444,1.73255
5.59184,1.75437
5.59925,1.72188
5.60666,1.71524
5.61406,1.74178
5.62147,1.71144
5.62888,1.71925
5.63628,1.73925
5.64369,1.7665
5.65110,1.75737
5.65850,1.7681
5.66591,1.81243
5.67332,1.79732
5.68072,1.83409
5.68813,1.81312
5.69553,1.8246
5.70294,1.86023
5.71035,1.85096
5.71775,1.90187
5.72516,1.93542
5.73257,1.95017
5.73997,1.95412
5.74738,1.92807
5.75479,1.97727
5.76219,1.9542
5.76960,1.99683
5.77701,1.98429
5.78441,2.02651
5.79182,2.0816
5.79922,2.12661
5.80663,2.13921
5.81404,2.14606
5.82144,2.15703
5.82885,2.17487
5.83626,2.1746
5.84366,2.19037
5.85107,2.21961
5.85848,2.2209
5.86588,2.20653
5.87329,2.22154
5.88070,2.24137
5.88810,2.23836
5.89551,2.25043
5.90291,2.25776
5.91032,2.25319
5.91773,2.27458
5.92513,2.25633
5.93254,2.27412
5.93995,2.26005
5.94735,2.27177
5.95476,2.24797
5.96217,2.25011
5.96957,2.24143
5.97698,2.26807
5.98439,2.25588
5.99179,2.26506
5.99920,2.25366
6.00660,2.24766
6.01401,2.24158
6.02142,2.26388
6.02882,2.24576
6.03623,2.25707
6.04364,2.24285
6.05104,2.25573
6.05845,2.28424
6.06586,2.27623
6.07326,2.26565
6.08067,2.26112
6.08807,2.27945
6.09548,2.30649
6.10289,2.33069
6.11029,2.32291
6.11770,2.35177
6.12511,2.36993
6.13251,2.40109
6.13992,2.42114
6.14733,2.44483
6.15473,2.47559
6.16214,2.50395
6.16955,2.51684
6.17695,2.55051
6.18436,2.57564
6.19176,2.59835
6.19917,2.62984
6.20658,2.66031
6.21398,2.69579
6.22139,2.72579
6.22880,2.75916
6.23620,2.76397
6.24361,2.79971
6.25102,2.83065
6.25842,2.84735
6.26583,2.87488
6.27324,2.91053
6.28064,2.92678
6.28805,2.94214
6.29545,2.95401
6.30286,2.97438
6.31027,2.99399
6.31767,3.00592
6.32508,3.02494
6.33249,3.03532
6.33989,3.05663
6.34730,3.07281
6.35471,3.07676
6.36211,3.07158
6.36952,3.08013
6.37693,3.09016
6.38433,3.08958
6.39174,3.0959
6.39914,3.0917
6.40655,3.08709
6.41396,3.08592
6.42136,3.0755
6.42877,3.06879
6.43618,3.05689
6.44358,3.05549
6.45099,3.04696
6.45840,3.02998
6.46580,3.01601
6.47321,3.00473
6.48061,2.97791
6.48802,2.96676
6.49543,2.9379
6.50283,2.91516
6.51024,2.9055
6.51765,2.87848
6.52505,2.85124
6.53246,2.82808
6.53987,2.80356
6.54727,2.77807
6.55468,2.74953
6.56209,2.71783
6.56949,2.69105
6.57690,2.66703
6.58430,2.62361
6.59171,2.59333
6.59912,2.56946
6.60652,2.54363
6.61393,2.50399
6.62134,2.48446
6.62874,2.46491
6.63615,2.41914
6.64356,2.39126
6.65096,2.32279
6.65837,2.31327
6.66578,2.29558
6.67318,2.29297
6.68059,2.33225
6.68799,2.36237
6.69540,2.35945
6.70281,2.36142
6.71021,2.36924
6.71762,2.37409
6.72503,2.36877
6.73243,2.3972
6.73984,2.42738
6.74725,2.44353
6.75465,2.44487
6.76206,2.4713
6.76947,2.47734
6.77687,2.50952
6.78428,2.52772
6.79168,2.53992
6.79909,2.54779
6.80650,2.57072
6.81390,2.58954
6.82131,2.62007
6.82872,2.61717
6.83612,2.65046
6.84353,2.6615
6.85094,2.67739
6.85834,2.69269
6.86575,2.70369
6.87316,2.71013
6.88056,2.72281
6.88797,2.72888
6.89537,2.73348
6.90278,2.74485
6.91019,2.75158
6.91759,2.74863
6.92500,2.75348
6.93241,2.76004
6.93981,2.75548
6.94722,2.74819
6.95463,2.75371
6.96203,2.76024
6.96944,2.74324
6.97684,2.75763
6.98425,2.74509
6.99166,2.73437
6.99906,2.72586
7.00647,2.70582
7.01388,2.69319
7.02128,2.69406
7.02869,2.67103
7.03610,2.65851
7.04350,2.64265
7.05091,2.63246
7.05832,2.60947
7.06572,2.60639
7.07313,2.56309
7.08053,2.54458
7.08794,2.52738
7.09535,2.51573
7.10275,2.49191
7.11016,2.46354
7.11757,2.43251
7.12497,2.4196
7.13238,2.37823
7.13979,2.36311
7.14719,2.32719
7.15460,2.29524
7.16201,2.25614
7.16941,2.23713
7.17682,2.20665
7.18422,2.15765
7.19163,2.15254
7.19904,2.09934
7.20644,2.08212
7.21385,2.02386
7.22126,2.01671
7.22866,1.96965
7.23607,1.91799
7.24348,1.88073
7.25088,1.84137
7.25829,1.80901
7.26570,1.7644
7.27310,1.73437
7.28051,1.74138
7.28791,1.68346
7.29532,1.68307
7.30273,1.63927
7.31013,1.61043
7.31754,1.5845
7.32495,1.50517
7.33235,1.51723
7.33976,1.55625
7.34717,1.51407
7.35457,1.49142
7.36198,1.49577
7.36939,1.46556
7.37679,1.4351
7.38420,1.42069
7.39160,1.45791
7.39901,1.48116
7.40642,1.48827
7.41382,1.4314
7.42123,1.43424
7.42864,1.50821
7.43604,1.47333
7.44345,1.47514
7.45086,1.50286
7.45826,1.48344
7.46567,1.51888
7.47307,1.47645
7.48048,1.55142
7.48789,1.56365
7.49529,1.52636
7.50270,1.55428
7.51011,1.53269
7.51751,1.5431
7.52492,1.57945
7.53233,1.53361
7.53973,1.60012
7.54714,1.54349
7.55455,1.57109
7.56195,1.5577
7.56936,1.54978
7.57676,1.54707
7.58417,1.47247
7.59158,1.52914
7.59898,1.41923
7.60639,1.41229
7.61380,1.48157
7.62120,1.55714
7.62861,1.59127
7.63602,1.5511
7.64342,1.5443
7.65083,1.59069
7.65824,1.53732
7.66564,1.57746
7.67305,1.56002
7.68045,1.55844
7.68786,1.49981
7.69527,1.46348
7.70267,1.48091
7.71008,1.48814
7.71749,1.42209
7.72489,1.41597
7.73230,1.43554
7.73971,1.37171
7.74711,1.43599
7.75452,1.34668
7.76193,1.32479
7.76933,1.268716
7.77674,1.35661
7.78414,1.24006
7.79155,1.23683
7.79896,1.30802
7.80636,1.208554
7.81377,1.22563
7.82118,1.144219
7.82858,1.164067
7.83599,1.1788
7.84340,1.154808
7.85080,1.091039
7.85821,1.109638
7.86561,1.096834
7.87302,1.090689
7.88043,1.065815
7.88783,1.029014
7.89524,1.005774
7.90265,0.924296
7.91005,0.893786
7.91746,0.908378
7.92487,1.054493
7.93227,0.962194
7.93968,0.989217
7.94709,1.002165
7.95449,0.919346
7.96190,0.862121
7.96930,0.930605
7.97671,0.975124
7.98412,0.949036
7.99152,0.930697
7.99893,0.926581
8.00634,1.090592
8.01374,1.028587
8.02115,1.049742
8.02856,0.915746
8.03596,0.986325
8.04337,0.927014
8.05078,1.09077
8.05818,0.997409
8.06559,1.001404
8.07299,0.966012
8.08040,1.004708
8.08781,0.884782
8.09521,0.783526
8.10262,0.896559
8.11003,0.959712
8.11743,0.860368
8.12484,0.953103
8.13225,0.954667
8.13965,0.94486
8.14706,0.921644
8.15447,0.853421
8.16187,0.904681
8.16928,0.866183
8.17668,0.885225
8.18409,0.868581
8.19150,0.872193
8.19890,0.917431
8.20631,0.875165
8.21372,0.90306
8.22112,0.805265
8.22853,0.86504
8.23594,0.950008
8.24334,0.885888
8.25075,0.918224
8.25816,0.846747
8.26556,0.892781
8.27297,0.920549
8.28037,0.859673
8.28778,0.884815
8.29519,0.791878
8.30259,0.845405
8.31000,0.842983
8.31741,0.83251
8.32481,0.765474
8.33222,0.859317
8.33963,0.849629
8.34703,0.857561
8.35444,0.932384
8.36184,0.907749
8.36925,0.829217
8.37666,0.788391
8.38406,0.845963
8.39147,0.874978
8.39888,0.846533
8.40628,0.911725
8.41369,0.984541
8.42110,0.785199
8.42850,0.962319
8.43591,0.821106
8.44332,0.822312
8.45072,0.71918
8.45813,0.827119
8.46553,0.846745
8.47294,0.816528
8.48035,0.828597
8.48775,0.643484
8.49516,0.94416
8.50257,0.799717
8.50997,0.776864
8.51738,0.786763
8.52479,0.748058
8.53219,0.85554
8.53960,0.70861
8.54701,0.649711
8.55441,0.79781
8.56182,0.757218
8.56922,0.750177
8.57663,0.717955
8.58404,0.618985
8.59144,0.757868
8.59885,0.772803
8.60626,0.940589
8.61366,0.826903
8.62107,0.741379
8.62848,0.839508
8.63588,0.767786
8.64329,0.771273
8.65070,0.76479
8.65810,0.786077
8.66551,0.826412
8.67291,0.758095
8.68032,0.731593
8.68773,0.776388
8.69513,0.867789
8.70254,0.734687
8.70995,0.686272
8.71735,0.731593
8.72476,0.869907
8.73217,0.727799
8.73957,0.5
8.74698,0.822996
8.75439,0.836958
8.76179,0.664578
8.76920,0.839611
8.77660,0.707387
8.78401,0.721981
8.79142,0.719099
8.79882,0.765915
8.80623,0.5
8.81364,0.809489
8.82104,0.786555
8.82845,0.73549
8.83586,0.808612
8.84326,0.621981
8.85067,0.853519
8.85807,0.590848
8.86548,0.752296
8.87289,0.840491
8.88029,0.767366
8.88770,0.719783
8.89511,0.737585
8.90251,0.782529
8.90992,0.866716
8.91733,0.695334
8.92473,0.782187
8.93214,0.801836
8.93955,0.818301
8.94695,0.756338
8.95436,0.726121
8.96176,0.742395
8.96917,0.7154
8.97658,0.740927
8.98398,0.682301
8.99139,0.708948
8.99880,0.713379
9.00620,0.5
9.01361,0.840829
9.02102,0.788867
9.02842,0.692581
9.03583,0.763815
9.04324,0.684856
9.05064,0.808612
9.05805,0.836806
9.06545,0.776636
9.07286,0.859319
9.08027,0.759318
9.08767,0.76689
9.09508,0.799469
9.10249,0.791878
9.10989,0.701588
9.11730,0.803252
9.12471,0.827572
9.13211,0.661775
9.13952,0.675358
9.14693,0.839165
9.15433,0.755099
9.16174,0.7587
9.16914,0.721297
9.17655,0.5
9.18396,0.855542
9.19136,0.701231
9.19877,0.720322
9.20618,0.719881
9.21358,0.758972
9.22099,0.5
9.22840,0.5
9.23580,0.787416
9.24321,0.622877
9.25061,0.712156
9.25802,0.727453
9.26543,0.793999
9.27283,0.636594
9.28024,0.610383
9.28765,0.692774
9.29505,0.70916
9.30246,0.574269
9.30987,0.630013
9.31727,0.681157
9.32468,0.752198
9.33209,0.809508
9.33949,0.5
9.34690,0.732568
9.35430,0.809408
9.36171,0.744166
9.36912,0.745245
9.37652,0.649281
9.38393,0.710026
9.39134,0.749281
9.39874,0.69735
9.40615,0.803252
9.41356,0.695086
9.42096,0.662325
9.42837,0.823225
9.43578,0.783278
9.44318,0.579388
9.45059,0.770839
9.45799,0.727096
9.46540,0.813379
9.47281,0.860118
9.48021,0.823337
9.48762,0.788996
9.49503,0.734025
9.50243,0.675165
9.50984,0.684875
9.51725,0.70916
9.52465,0.754203
9.53206,0.76689
9.53947,0.836267
9.54687,0.746745
9.55428,0.762668
9.56168,0.805273
9.56909,0.816184
9.57650,0.865934
9.58390,0.769325
9.59131,0.789421
9.59872,0.877093
9.60612,0.833241
9.61353,0.840052
9.62094,0.783197
9.62834,0.743289
9.63575,0.879651
9.64316,0.771065
9.65056,0.837685
9.65797,0.80369
9.66537,0.929347
9.67278,0.741363
9.68019,0.884228
9.68759,0.864787
9.69500,0.762917
9.70241,0.809408
9.70981,0.797891
9.71722,0.804475
9.72463,0.824478
9.73203,0.866391
9.73944,0.800594
9.74684,0.825682
9.75425,0.718301
9.76166,0.826577
9.76906,0.848613
9.77647,0.830113
9.78388,0.857141
9.79128,0.876277
9.79869,0.844184
9.80610,0.778845
9.81350,0.873151
9.82091,0.703492
9.82832,0.861791
9.83572,0.709487
9.84313,0.837492
9.85053,0.733791
9.85794,0.7609
9.86535,0.725527
9.87275,0.810504
9.88016,0.803688
9.88757,0.688198
9.89497,0.807191
9.90238,0.82042
9.90979,0.740734
9.91719,0.764787
9.92460,0.799033
9.93201,0.704848
9.93941,0.655976
9.94682,0.825323
9.95422,0.72076
9.96163,0.758095
9.96904,0.827688
9.97644,0.848422
9.98385,0.79312
9.99126,0.742798
9.99866,0.844705
10.00607,0.787302
10.01348,0.790462
10.02088,0.727992
10.02829,0.59577
10.03570,0.758781
10.04310,0.608803
10.05051,0.773506
10.05791,0.710824
10.06532,0.719178
10.07273,0.777725
10.08013,0.689799
10.08754,0.784306
10.09495,0.733791
10.10235,0.746285
10.10976,0.875413
10.11717,0.721654
10.12457,0.77986
10.13198,0.807041
10.13939,0.843057
10.14679,0.774808
10.15420,0.752981
10.16160,0.805041
10.16901,0.742066
10.17642,0.827115
10.18382,0.718301
10.19123,0.853524
10.19864,0.692774
10.20604,0.743291
10.21345,0.72252
10.22086,0.823535
10.22826,0.696994
10.23567,0.660898
10.24307,0.688198
10.25048,0.735371
10.25789,0.810385
10.26529,0.812502
10.27270,0.743482
10.28011,0.751402
10.28751,0.707387
10.29492,0.824102
10.30233,0.846742
10.30973,0.833357
10.31714,0.727017
10.32455,0.79331
10.33195,0.712404
10.33936,0.686272
10.34676,0.672169
10.35417,0.795577
10.36158,0.698573
10.36898,0.797469
