sol,planetocentric_latitude,planetodetic_latitude,longitude,elevation
43,-4.590129454,-4.644408272,137.445101935,-4507.359
43,-4.590136686,-4.644415588,137.445106337,-4507.364
43,-4.590143889,-4.644422876,137.445110785,-4507.374
43,-4.590151214,-4.644430287,137.445115031,-4507.383
43,-4.590158524,-4.644437682,137.445119302,-4507.391
43,-4.590165805,-4.644445049,137.445123622,-4507.401
43,-4.590173063,-4.644452392,137.445127981,-4507.409
43,-4.590180296,-4.644459709,137.445132382,-4507.415
43,-4.590187093,-4.644466586,137.445136512,-4507.42
43,-4.590193981,-4.644473555,137.445140996,-4507.428
43,-4.590201231,-4.644480891,137.445145331,-4507.439
43,-4.590208486,-4.64448823,137.445149691,-4507.456
43,-4.590215736,-4.644495565,137.445154059,-4507.47
43,-4.590223021,-4.644502935,137.445158371,-4507.482
43,-4.590230313,-4.644510313,137.445162673,-4507.491
43,-4.590237596,-4.644517682,137.44516699,-4507.498
43,-4.590244876,-4.644525046,137.445171316,-4507.501
43,-4.590252162,-4.644532418,137.44517563,-4507.504
43,-4.590259431,-4.644539772,137.44517997,-4507.513
43,-4.590266652,-4.644547078,137.445184387,-4507.526
43,-4.590273862,-4.644554373,137.445188823,-4507.537
43,-4.590281068,-4.644561663,137.445193267,-4507.548
43,-4.590288267,-4.644568946,137.445197724,-4507.555
43,-4.590295493,-4.644576257,137.445202138,-4507.561
43,-4.59030275,-4.644583599,137.4452065,-4507.567
43,-4.59031003,-4.644590964,137.445210822,-4507.577
43,-4.590317338,-4.644598358,137.445215094,-4507.589
43,-4.590324634,-4.64460574,137.44521938,-4507.607
43,-4.590331912,-4.644613103,137.445223694,-4507.628
43,-4.590338765,-4.644620036,137.445227722,-4507.646
43,-4.590345614,-4.644626965,137.445232166,-4507.663
43,-4.59035292,-4.644634357,137.445236393,-4507.686
43,-4.590360235,-4.644641758,137.445240636,-4507.712
43,-4.590367535,-4.644649143,137.445244905,-4507.738
43,-4.590374825,-4.644656519,137.445249192,-4507.764
43,-4.590382124,-4.644663904,137.445253473,-4507.782
43,-4.590389402,-4.644671267,137.445257796,-4507.795
43,-4.590396678,-4.644678628,137.445262124,-4507.807
43,-4.590403957,-4.644685992,137.445266445,-4507.819
43,-4.590411225,-4.644693345,137.445270786,-4507.83
